scenario,trial,windows_to_detection,max_windows
no_drift,0,,10
no_drift,1,,10
no_drift,2,,10
no_drift,3,,10
no_drift,4,,10
no_drift,5,,10
no_drift,6,,10
no_drift,7,,10
no_drift,8,,10
no_drift,9,,10
small_drift,0,,10
small_drift,1,,10
small_drift,2,,10
small_drift,3,,10
small_drift,4,,10
small_drift,5,,10
small_drift,6,,10
small_drift,7,,10
small_drift,8,,10
small_drift,9,,10
large_drift,0,1.0,10
large_drift,1,1.0,10
large_drift,2,1.0,10
large_drift,3,1.0,10
large_drift,4,1.0,10
large_drift,5,1.0,10
large_drift,6,1.0,10
large_drift,7,1.0,10
large_drift,8,1.0,10
large_drift,9,1.0,10
missing_feature,0,1.0,10
missing_feature,1,1.0,10
missing_feature,2,1.0,10
missing_feature,3,1.0,10
missing_feature,4,1.0,10
missing_feature,5,1.0,10
missing_feature,6,1.0,10
missing_feature,7,1.0,10
missing_feature,8,1.0,10
missing_feature,9,1.0,10
performance_drift,0,,10
performance_drift,1,,10
performance_drift,2,,10
performance_drift,3,,10
performance_drift,4,,10
performance_drift,5,,10
performance_drift,6,,10
performance_drift,7,,10
performance_drift,8,,10
performance_drift,9,,10
covariate_shift,0,1.0,10
covariate_shift,1,1.0,10
covariate_shift,2,1.0,10
covariate_shift,3,1.0,10
covariate_shift,4,1.0,10
covariate_shift,5,1.0,10
covariate_shift,6,1.0,10
covariate_shift,7,1.0,10
covariate_shift,8,1.0,10
covariate_shift,9,1.0,10
prior_shift,0,,10
prior_shift,1,,10
prior_shift,2,,10
prior_shift,3,,10
prior_shift,4,,10
prior_shift,5,,10
prior_shift,6,,10
prior_shift,7,,10
prior_shift,8,,10
prior_shift,9,,10
