scenario,trial,seed,expect_drift,kind,input_drift_detected,n_drifted_features,n_schema_failures,max_psi,mean_psi,detection_seconds,prediction_drift_detected,prediction_shape_drift,prediction_level_drift,prediction_psi,prediction_mean,prediction_mean_shift,roc_auc,pr_auc,accuracy,scorable
no_drift,0,10000,False,none,False,0,0,0.05047,0.008573,0.302589,False,False,False,0.004536,0.223325,0.076806,0.933291,0.830419,0.888,True
no_drift,1,10001,False,none,False,0,0,0.052815,0.009434,0.25238,False,False,False,0.006229,0.23914,0.011432,0.93088,0.828184,0.8755,True
no_drift,2,10002,False,none,False,0,0,0.056694,0.010466,0.130163,False,False,False,0.004575,0.228247,0.056463,0.925241,0.807266,0.874,True
no_drift,3,10003,False,none,False,0,0,0.046203,0.007932,0.4181,False,False,False,0.005144,0.248957,0.02915,0.923985,0.832127,0.8665,True
no_drift,4,10004,False,none,False,0,0,0.029051,0.006633,0.33555,False,False,False,0.010148,0.224288,0.072827,0.921827,0.807212,0.867,True
no_drift,5,10005,False,none,False,0,0,0.033878,0.007791,0.184896,False,False,False,0.005369,0.231579,0.042686,0.928594,0.824848,0.872,True
no_drift,6,10006,False,none,False,0,0,0.033512,0.007813,0.149726,False,False,False,0.006924,0.236829,0.020985,0.925734,0.828483,0.872,True
no_drift,7,10007,False,none,False,0,0,0.039863,0.008362,0.143746,False,False,False,0.007674,0.237255,0.019224,0.910165,0.791867,0.856,True
no_drift,8,10008,False,none,False,0,0,0.047745,0.008426,0.130636,False,False,False,0.003935,0.236002,0.024404,0.934546,0.851579,0.878,True
no_drift,9,10009,False,none,False,0,0,0.052172,0.00883,0.161113,False,False,False,0.007015,0.229316,0.052042,0.92595,0.825311,0.8785,True
no_drift,10,10010,False,none,False,0,0,0.062799,0.009542,0.127542,False,False,False,0.0081,0.228306,0.056219,0.917528,0.80494,0.867,True
no_drift,11,10011,False,none,False,0,0,0.049405,0.009158,0.142506,False,False,False,0.006513,0.232756,0.037822,0.93097,0.827901,0.882,True
no_drift,12,10012,False,none,False,0,0,0.033854,0.008051,0.122875,False,False,False,0.005107,0.224272,0.072891,0.91959,0.806686,0.8695,True
no_drift,13,10013,False,none,False,0,0,0.052238,0.009928,0.108535,False,False,False,0.010914,0.220333,0.089176,0.929302,0.820317,0.877,True
no_drift,14,10014,False,none,False,0,0,0.075374,0.010182,0.116166,False,False,False,0.000907,0.235229,0.0276,0.916582,0.798024,0.863,True
